wazuh.indexer-1  | [2026-05-05T12:29:35,136][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[.opendistro_security/dF2Rv-HjTEeI4RB69r0vjQ]
wazuh.indexer-1  | [2026-05-05T12:29:35,172][INFO ][o.o.c.m.MetadataMappingService] [wazuh.indexer] [.opendistro_security/dF2Rv-HjTEeI4RB69r0vjQ] update_mapping [_doc]
wazuh.indexer-1  | [2026-05-05T12:29:35,173][INFO ][o.o.m.a.MLModelAutoReDeployer] [wazuh.indexer] Index not found, not performing auto reloading!
wazuh.indexer-1  | [2026-05-05T12:29:35,174][INFO ][o.o.m.c.MLCommonsClusterManagerEventListener] [wazuh.indexer] Starting ML sync up job...
wazuh.indexer-1  | [2026-05-05T12:29:35,187][ERROR][o.o.s.a.BackendRegistry  ] [wazuh.indexer] Not yet initialized (you may need to run securityadmin)
wazuh.indexer-1  | [2026-05-05T12:29:35,816][INFO ][o.o.s.s.ConfigHelper     ] [wazuh.indexer] Doc with id 'whitelist' and version 2 is updated in .opendistro_security index.
wazuh.indexer-1  | [2026-05-05T12:29:35,817][INFO ][o.o.s.s.ConfigHelper     ] [wazuh.indexer] Will update 'allowlist' with /usr/share/wazuh-indexer/config/opensearch-security/allowlist.yml and populate it with empty doc if file missing and populateEmptyIfFileMissing=true
wazuh.indexer-1  | [2026-05-05T12:29:35,845][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[.opendistro_security/dF2Rv-HjTEeI4RB69r0vjQ]
wazuh.indexer-1  | [2026-05-05T12:29:35,870][INFO ][o.o.c.m.MetadataMappingService] [wazuh.indexer] [.opendistro_security/dF2Rv-HjTEeI4RB69r0vjQ] update_mapping [_doc]
wazuh.indexer-1  | [2026-05-05T12:29:36,165][ERROR][o.o.s.a.BackendRegistry  ] [wazuh.indexer] Not yet initialized (you may need to run securityadmin)
wazuh.indexer-1  | [2026-05-05T12:29:36,173][ERROR][o.o.s.a.BackendRegistry  ] [wazuh.indexer] Not yet initialized (you may need to run securityadmin)
wazuh.indexer-1  | [2026-05-05T12:29:36,183][ERROR][o.o.s.a.BackendRegistry  ] [wazuh.indexer] Not yet initialized (you may need to run securityadmin)
wazuh.indexer-1  | [2026-05-05T12:29:36,348][ERROR][o.o.s.a.BackendRegistry  ] [wazuh.indexer] Not yet initialized (you may need to run securityadmin)
wazuh.indexer-1  | [2026-05-05T12:29:37,988][INFO ][o.o.s.s.ConfigHelper     ] [wazuh.indexer] Doc with id 'allowlist' and version 2 is updated in .opendistro_security index.
wazuh.indexer-1  | [2026-05-05T12:29:37,993][INFO ][o.o.s.s.ConfigHelper     ] [wazuh.indexer] Will update 'audit' with /usr/share/wazuh-indexer/config/opensearch-security/audit.yml and populate it with empty doc if file missing and populateEmptyIfFileMissing=false
